iter	Passed	Remaining
775	45036	13000
776	45093	12941
777	45155	12884
778	45209	12825
779	45264	12767
780	45322	12708
781	45384	12651
782	45442	12593
783	45497	12534
784	45549	12475
785	45608	12417
786	45664	12358
787	45717	12299
788	45776	12241
789	45831	12182
790	45892	12125
791	45951	12067
792	46013	12011
793	46073	11953
794	46132	11895
795	46187	11836
796	46241	11777
797	46308	11722
798	46366	11664
799	46423	11605
800	46476	11546
801	46533	11488
802	46589	11429
803	46645	11371
804	46698	11311
805	46765	11256
806	46822	11197
807	46877	11139
808	46933	11080
809	46991	11022
810	47046	10963
811	47098	10904
812	47153	10845
813	47214	10788
814	47275	10731
815	47329	10672
816	47387	10614
817	47448	10557
818	47505	10498
819	47563	10440
820	47617	10381
821	47673	10323
822	47736	10266
823	47792	10208
824	47848	10149
825	47906	10091
826	47965	10033
827	48018	9974
828	48073	9916
829	48135	9859
830	48192	9800
831	48246	9742
832	48300	9683
833	48361	9625
834	48416	9567
835	48470	9508
836	48526	9450
837	48586	9392
838	48649	9335
839	48705	9277
840	48765	9219
841	48825	9161
842	48880	9103
843	48938	9045
844	48997	8987
845	49054	8929
846	49110	8871
847	49171	8813
848	49223	8754
849	49284	8697
850	49347	8640
851	49402	8581
852	49459	8523
853	49520	8466
854	49582	8408
855	49641	8350
856	49706	8294
857	49767	8236
858	49828	8179
859	49886	8121
860	49945	8063
861	50011	8006
862	50069	7948
863	50128	7890
864	50187	7832
865	50247	7775
866	50304	7716
867	50365	7659
868	50425	7601
869	50490	7544
870	50549	7486
871	50609	7428
872	50670	7371
873	50733	7314
874	50792	7256
875	50850	7198
876	50913	7140
877	50973	7082
878	51035	7025
879	51095	6967
880	51153	6909
881	51214	6851
882	51275	6794
883	51336	6736
884	51394	6678
885	51455	6620
886	51516	6562
887	51575	6504
888	51635	6447
889	51693	6389
890	51758	6331
891	51815	6273
892	51875	6215
893	51938	6158
894	51994	6099
895	52056	6042
896	52116	5984
897	52178	5926
898	52240	5869
899	52299	5811
900	52356	5752
901	52413	5694
902	52474	5636
903	52532	5578
904	52590	5520
905	52651	5462
906	52713	5405
907	52774	5347
908	52831	5289
909	52898	5231
910	52959	5173
911	53016	5115
912	53080	5058
913	53142	5000
914	53203	4942
915	53265	4884
916	53320	4826
917	53379	4768
918	53432	4709
919	53487	4651
920	53543	4592
921	53607	4535
922	53666	4477
923	53726	4419
924	53783	4360
925	53849	4303
926	53905	4244
927	53961	4186
928	54014	4128
929	54064	4069
930	54124	4011
931	54180	3953
932	54243	3895
933	54311	3837
934	54372	3779
935	54434	3722
936	54490	3663
937	54545	3605
938	54602	3547
939	54656	3488
940	54715	3430
941	54783	3373
942	54842	3314
943	54894	3256
944	54948	3198
945	55005	3139
946	55063	3081
947	55119	3023
948	55173	2965
949	55238	2907
950	55296	2849
951	55359	2791
952	55416	2733
953	55475	2674
954	55530	2616
955	55586	2558
956	55638	2499
957	55696	2441
958	55755	2383
959	55814	2325
960	55870	2267
961	55929	2209
962	55983	2150
963	56037	2092
964	56090	2034
965	56143	1976
966	56200	1917
967	56255	1859
968	56315	1801
969	56368	1743
970	56422	1685
971	56479	1626
972	56539	1568
973	56598	1510
974	56655	1452
975	56712	1394
976	56768	1336
977	56827	1278
978	56886	1220
979	56945	1162
980	57000	1103
981	57060	1045
982	57113	987
983	57173	929
984	57228	871
985	57288	813
986	57345	755
987	57403	697
988	57457	639
989	57519	581
990	57586	522
991	57640	464
992	57699	406
993	57767	348
994	57822	290
995	57877	232
996	57932	174
997	57994	116
998	58054	58
999	58112	0
